alpha,block_size,key_range,read_prob,success_rate
1.03,4,100,0.5,0.99
1.03,4,100,0.5,0.995
1.03,4,100,0.5,0.992
1.03,4,100,0.5,0.989
1.03,4,100,0.5,0.99
1.03,4,100,0.5,0.995
1.03,4,100,0.5,0.993
1.03,4,100,0.5,0.989
1.03,4,100,0.5,0.989
1.03,4,100,0.5,0.989
1.03,4,100,0.5,0.993
1.03,4,100,0.5,0.993
1.03,4,100,0.5,0.994
1.03,4,100,0.5,0.993
1.03,4,100,0.5,0.99
1.03,4,100,0.5,0.99
1.03,4,100,0.5,0.991
1.03,4,100,0.5,0.989
1.03,4,100,0.5,0.993
1.03,4,100,0.5,0.993
1.03,4,100,0.5,0.986
1.03,4,100,0.5,0.994
1.03,4,100,0.5,0.998
1.03,4,100,0.5,0.988
1.03,4,100,0.5,0.984
1.03,4,100,0.5,0.994
1.03,4,100,0.5,0.991
1.03,4,100,0.5,0.989
1.03,4,100,0.5,0.991
1.03,4,100,0.5,0.989
1.03,4,100,0.5,0.991
1.03,4,100,0.5,0.99
1.03,4,100,0.5,0.993
1.03,4,100,0.5,0.99
1.03,4,100,0.5,0.991
1.03,4,100,0.5,0.989
1.03,4,100,0.5,0.992
1.03,4,100,0.5,0.991
1.03,4,100,0.5,0.987
1.03,4,100,0.5,0.989
1.03,4,100,0.5,0.991
1.03,4,100,0.5,0.989
1.03,4,100,0.5,0.99
1.03,4,100,0.5,0.99
1.03,4,100,0.5,0.997
1.03,4,100,0.5,0.982
1.03,4,100,0.5,0.994
1.03,4,100,0.5,0.992
1.03,4,100,0.5,0.99
1.03,8,100,0.5,0.978
1.03,8,100,0.5,0.971
1.03,8,100,0.5,0.969
1.03,8,100,0.5,0.984
1.03,8,100,0.5,0.977
1.03,8,100,0.5,0.979
1.03,8,100,0.5,0.981
1.03,8,100,0.5,0.98
1.03,8,100,0.5,0.98
1.03,8,100,0.5,0.982
1.03,8,100,0.5,0.985
1.03,8,100,0.5,0.971
1.03,8,100,0.5,0.981
1.03,8,100,0.5,0.968
1.03,8,100,0.5,0.981
1.03,8,100,0.5,0.978
1.03,8,100,0.5,0.979
1.03,8,100,0.5,0.981
1.03,8,100,0.5,0.982
1.03,8,100,0.5,0.973
1.03,8,100,0.5,0.971
1.03,8,100,0.5,0.977
1.03,8,100,0.5,0.972
1.03,8,100,0.5,0.97
1.03,8,100,0.5,0.978
1.03,8,100,0.5,0.98
1.03,8,100,0.5,0.98
1.03,8,100,0.5,0.976
1.03,8,100,0.5,0.974
1.03,8,100,0.5,0.98
1.03,8,100,0.5,0.982
1.03,8,100,0.5,0.986
1.03,8,100,0.5,0.987
1.03,8,100,0.5,0.978
1.03,8,100,0.5,0.977
1.03,8,100,0.5,0.979
1.03,8,100,0.5,0.972
1.03,8,100,0.5,0.978
1.03,8,100,0.5,0.978
1.03,8,100,0.5,0.982
1.03,8,100,0.5,0.978
1.03,8,100,0.5,0.977
1.03,8,100,0.5,0.98
1.03,8,100,0.5,0.965
1.03,8,100,0.5,0.972
1.03,8,100,0.5,0.97
1.03,8,100,0.5,0.977
1.03,8,100,0.5,0.977
1.03,8,100,0.5,0.973
1.03,8,100,0.5,0.98
1.03,16,100,0.5,0.9404761904761905
1.03,16,100,0.5,0.9444444444444444
1.03,16,100,0.5,0.9494047619047619
1.03,16,100,0.5,0.9603174603174603
1.03,16,100,0.5,0.9533730158730159
1.03,16,100,0.5,0.9523809523809523
1.03,16,100,0.5,0.9454365079365079
1.03,16,100,0.5,0.941468253968254
1.03,16,100,0.5,0.9523809523809523
1.03,16,100,0.5,0.9593253968253969
1.03,16,100,0.5,0.9672619047619048
1.03,16,100,0.5,0.9454365079365079
1.03,16,100,0.5,0.9503968253968254
